image,sample,n_vessel,n_pair,um_per_px,scale_method,status,error,review_png
1 (1).tif,1,8,1,0.217391,green_bar,ok,,01_(01)_左原图_右自动.png
1 (2).tif,1,8,1,0.217391,green_bar,ok,,01_(02)_左原图_右自动.png
1 (3).tif,1,3,1,0.217391,green_bar,ok,,01_(03)_左原图_右自动.png
1 (4).tif,1,7,1,0.217391,green_bar,ok,,01_(04)_左原图_右自动.png
1 (5).tif,1,2,1,0.217391,green_bar,ok,,01_(05)_左原图_右自动.png
1 (6).tif,1,8,1,0.217391,green_bar,ok,,01_(06)_左原图_右自动.png
1 (7).tif,1,5,0,0.217391,green_bar,ok,,01_(07)_左原图_右自动.png
1 (8).tif,1,3,0,0.217391,green_bar,ok,,01_(08)_左原图_右自动.png
2 (1).tif,2,4,0,0.217391,green_bar,ok,,02_(01)_左原图_右自动.png
2 (2).tif,2,6,0,0.217391,green_bar,ok,,02_(02)_左原图_右自动.png
2 (3).tif,2,8,1,0.217391,green_bar,ok,,02_(03)_左原图_右自动.png
2 (4).tif,2,5,1,0.217391,green_bar,ok,,02_(04)_左原图_右自动.png
2 (5).tif,2,4,1,0.217391,green_bar,ok,,02_(05)_左原图_右自动.png
2 (6).tif,2,7,1,0.217391,green_bar,ok,,02_(06)_左原图_右自动.png
2 (7).tif,2,7,1,0.217391,green_bar,ok,,02_(07)_左原图_右自动.png
2 (8).tif,2,7,1,0.217391,green_bar,ok,,02_(08)_左原图_右自动.png
2 (9).tif,2,6,1,0.217391,green_bar,ok,,02_(09)_左原图_右自动.png
2 (10).tif,2,4,0,0.217391,green_bar,ok,,02_(10)_左原图_右自动.png
2 (11).tif,2,3,0,0.217391,green_bar,ok,,02_(11)_左原图_右自动.png
2 (12).tif,2,6,0,0.217391,green_bar,ok,,02_(12)_左原图_右自动.png
2 (13).tif,2,8,1,0.217391,green_bar,ok,,02_(13)_左原图_右自动.png
2 (14).tif,2,7,1,0.217391,green_bar,ok,,02_(14)_左原图_右自动.png
3 (1).tif,3,5,1,0.217391,green_bar,ok,,03_(01)_左原图_右自动.png
3 (2).tif,3,5,1,0.217391,green_bar,ok,,03_(02)_左原图_右自动.png
3 (3).tif,3,2,0,0.217391,green_bar,ok,,03_(03)_左原图_右自动.png
3 (4).tif,3,7,1,0.217391,green_bar,ok,,03_(04)_左原图_右自动.png
3 (5).tif,3,6,1,0.217391,green_bar,ok,,03_(05)_左原图_右自动.png
3 (6).tif,3,6,0,0.217391,green_bar,ok,,03_(06)_左原图_右自动.png
3 (7).tif,3,3,0,0.217391,green_bar,ok,,03_(07)_左原图_右自动.png
3 (8).tif,3,5,1,0.217391,green_bar,ok,,03_(08)_左原图_右自动.png
3 (9).tif,3,8,1,0.217391,green_bar,ok,,03_(09)_左原图_右自动.png
4 (1).tif,4,5,1,0.217391,green_bar,ok,,04_(01)_左原图_右自动.png
4 (2).tif,4,5,1,0.217391,green_bar,ok,,04_(02)_左原图_右自动.png
4 (3).tif,4,2,0,0.217391,green_bar,ok,,04_(03)_左原图_右自动.png
4 (4).tif,4,7,1,0.217391,green_bar,ok,,04_(04)_左原图_右自动.png
4 (5).tif,4,4,0,0.217391,green_bar,ok,,04_(05)_左原图_右自动.png
4 (6).tif,4,6,1,0.217391,green_bar,ok,,04_(06)_左原图_右自动.png
4 (7).tif,4,2,0,0.217391,green_bar,ok,,04_(07)_左原图_右自动.png
4 (8).tif,4,6,0,0.217391,green_bar,ok,,04_(08)_左原图_右自动.png
5 (1).tif,5,6,0,0.217391,green_bar,ok,,05_(01)_左原图_右自动.png
5 (2).tif,5,7,1,0.217391,green_bar,ok,,05_(02)_左原图_右自动.png
5 (3).tif,5,7,1,0.217391,green_bar,ok,,05_(03)_左原图_右自动.png
5 (4).tif,5,5,0,0.217391,green_bar,ok,,05_(04)_左原图_右自动.png
5 (5).tif,5,3,0,0.217391,green_bar,ok,,05_(05)_左原图_右自动.png
5 (6).tif,5,2,0,0.217391,green_bar,ok,,05_(06)_左原图_右自动.png
5 (7).tif,5,2,0,0.217391,green_bar,ok,,05_(07)_左原图_右自动.png
5 (8).tif,5,2,0,0.217391,green_bar,ok,,05_(08)_左原图_右自动.png
6 (1).tif,6,6,1,0.217391,green_bar,ok,,06_(01)_左原图_右自动.png
6 (2).tif,6,6,0,0.217391,green_bar,ok,,06_(02)_左原图_右自动.png
6 (3).tif,6,5,1,0.217391,green_bar,ok,,06_(03)_左原图_右自动.png
6 (4).tif,6,7,1,0.217391,green_bar,ok,,06_(04)_左原图_右自动.png
6 (5).tif,6,6,0,0.217391,green_bar,ok,,06_(05)_左原图_右自动.png
6 (6).tif,6,6,0,0.217391,green_bar,ok,,06_(06)_左原图_右自动.png
6 (7).tif,6,8,1,0.217391,green_bar,ok,,06_(07)_左原图_右自动.png
6 (8).tif,6,4,0,0.217391,green_bar,ok,,06_(08)_左原图_右自动.png
6 (9).tif,6,8,1,0.217391,green_bar,ok,,06_(09)_左原图_右自动.png
6 (10).tif,6,6,1,0.217391,green_bar,ok,,06_(10)_左原图_右自动.png
6 (11).tif,6,7,1,0.217391,green_bar,ok,,06_(11)_左原图_右自动.png
6 (12).tif,6,8,1,0.217391,green_bar,ok,,06_(12)_左原图_右自动.png
6 (13).tif,6,5,0,0.217391,green_bar,ok,,06_(13)_左原图_右自动.png
6 (14).tif,6,5,0,0.217391,green_bar,ok,,06_(14)_左原图_右自动.png
7 (1).tif,7,6,1,0.217391,green_bar,ok,,07_(01)_左原图_右自动.png
7 (2).tif,7,5,0,0.217391,green_bar,ok,,07_(02)_左原图_右自动.png
7 (3).tif,7,3,0,0.217391,green_bar,ok,,07_(03)_左原图_右自动.png
7 (4).tif,7,3,1,0.217391,green_bar,ok,,07_(04)_左原图_右自动.png
7 (5).tif,7,5,0,0.217391,green_bar,ok,,07_(05)_左原图_右自动.png
7 (6).tif,7,3,0,0.217391,green_bar,ok,,07_(06)_左原图_右自动.png
7 (7).tif,7,3,1,0.217391,green_bar,ok,,07_(07)_左原图_右自动.png
7 (8).tif,7,1,0,0.217391,green_bar,ok,,07_(08)_左原图_右自动.png
8 (1).tif,8,6,0,0.217391,green_bar,ok,,08_(01)_左原图_右自动.png
8 (2).tif,8,5,0,0.217391,green_bar,ok,,08_(02)_左原图_右自动.png
8 (3).tif,8,6,0,0.217391,green_bar,ok,,08_(03)_左原图_右自动.png
8 (4).tif,8,5,0,0.217391,green_bar,ok,,08_(04)_左原图_右自动.png
8 (5).tif,8,5,0,0.217391,green_bar,ok,,08_(05)_左原图_右自动.png
8 (6).tif,8,2,0,0.217391,green_bar,ok,,08_(06)_左原图_右自动.png
8 (7).tif,8,4,1,0.217391,green_bar,ok,,08_(07)_左原图_右自动.png
8 (8).tif,8,4,0,0.217391,green_bar,ok,,08_(08)_左原图_右自动.png
9 (1).tif,9,2,0,0.217391,green_bar,ok,,09_(01)_左原图_右自动.png
9 (2).tif,9,4,0,0.217391,green_bar,ok,,09_(02)_左原图_右自动.png
9 (3).tif,9,6,1,0.217391,green_bar,ok,,09_(03)_左原图_右自动.png
9 (4).tif,9,6,1,0.217391,green_bar,ok,,09_(04)_左原图_右自动.png
9 (5).tif,9,6,1,0.217391,green_bar,ok,,09_(05)_左原图_右自动.png
9 (6).tif,9,8,1,0.217391,green_bar,ok,,09_(06)_左原图_右自动.png
9 (7).tif,9,6,0,0.217391,green_bar,ok,,09_(07)_左原图_右自动.png
9 (8).tif,9,4,0,0.217391,green_bar,ok,,09_(08)_左原图_右自动.png
9 (9).tif,9,5,0,0.217391,green_bar,ok,,09_(09)_左原图_右自动.png
10 (1).tif,10,6,0,0.217391,green_bar,ok,,10_(01)_左原图_右自动.png
10 (2).tif,10,5,0,0.217391,green_bar,ok,,10_(02)_左原图_右自动.png
10 (3).tif,10,7,1,0.217391,green_bar,ok,,10_(03)_左原图_右自动.png
10 (4).tif,10,4,0,0.217391,green_bar,ok,,10_(04)_左原图_右自动.png
10 (5).tif,10,5,0,0.217391,green_bar,ok,,10_(05)_左原图_右自动.png
10 (6).tif,10,3,0,0.217391,green_bar,ok,,10_(06)_左原图_右自动.png
10 (7).tif,10,5,0,0.217391,green_bar,ok,,10_(07)_左原图_右自动.png
11 (1).tif,11,3,0,0.217391,green_bar,ok,,11_(01)_左原图_右自动.png
11 (2).tif,11,8,1,0.217391,green_bar,ok,,11_(02)_左原图_右自动.png
11 (3).tif,11,6,0,0.217391,green_bar,ok,,11_(03)_左原图_右自动.png
11 (4).tif,11,5,0,0.217391,green_bar,ok,,11_(04)_左原图_右自动.png
11 (5).tif,11,6,0,0.217391,green_bar,ok,,11_(05)_左原图_右自动.png
11 (6).tif,11,6,0,0.217391,green_bar,ok,,11_(06)_左原图_右自动.png
11 (7).tif,11,8,1,0.217391,green_bar,ok,,11_(07)_左原图_右自动.png
11 (8).tif,11,8,1,0.217391,green_bar,ok,,11_(08)_左原图_右自动.png
12 (1).tif,12,9,1,0.217391,green_bar,ok,,12_(01)_左原图_右自动.png
12 (2).tif,12,5,0,0.217391,green_bar,ok,,12_(02)_左原图_右自动.png
12 (3).tif,12,6,0,0.217391,green_bar,ok,,12_(03)_左原图_右自动.png
12 (4).tif,12,4,1,0.217391,green_bar,ok,,12_(04)_左原图_右自动.png
12 (5).tif,12,2,0,0.217391,green_bar,ok,,12_(05)_左原图_右自动.png
12 (6).tif,12,5,0,0.217391,green_bar,ok,,12_(06)_左原图_右自动.png
12 (7).tif,12,5,0,0.217391,green_bar,ok,,12_(07)_左原图_右自动.png
13 (1).tif,13,4,0,0.217391,green_bar,ok,,13_(01)_左原图_右自动.png
13 (2).tif,13,2,0,0.217391,green_bar,ok,,13_(02)_左原图_右自动.png
13 (3).tif,13,6,0,0.217391,green_bar,ok,,13_(03)_左原图_右自动.png
13 (4).tif,13,4,0,0.217391,green_bar,ok,,13_(04)_左原图_右自动.png
13 (5).tif,13,6,1,0.217391,green_bar,ok,,13_(05)_左原图_右自动.png
13 (6).tif,13,3,0,0.217391,green_bar,ok,,13_(06)_左原图_右自动.png
13 (7).tif,13,7,1,0.217391,green_bar,ok,,13_(07)_左原图_右自动.png
13 (8).tif,13,3,0,0.217391,green_bar,ok,,13_(08)_左原图_右自动.png
14 (1).tif,14,6,0,0.217391,green_bar,ok,,14_(01)_左原图_右自动.png
14 (2).tif,14,4,0,0.217391,green_bar,ok,,14_(02)_左原图_右自动.png
14 (3).tif,14,4,0,0.217391,green_bar,ok,,14_(03)_左原图_右自动.png
14 (4).tif,14,5,0,0.217391,green_bar,ok,,14_(04)_左原图_右自动.png
14 (5).tif,14,4,0,0.217391,green_bar,ok,,14_(05)_左原图_右自动.png
14 (6).tif,14,6,0,0.217391,green_bar,ok,,14_(06)_左原图_右自动.png
14 (7).tif,14,3,0,0.217391,green_bar,ok,,14_(07)_左原图_右自动.png
14 (8).tif,14,5,1,0.217391,green_bar,ok,,14_(08)_左原图_右自动.png
15 (1).tif,15,2,0,0.217391,green_bar,ok,,15_(01)_左原图_右自动.png
15 (2).tif,15,6,0,0.217391,green_bar,ok,,15_(02)_左原图_右自动.png
15 (3).tif,15,6,0,0.217391,green_bar,ok,,15_(03)_左原图_右自动.png
15 (4).tif,15,6,0,0.217391,green_bar,ok,,15_(04)_左原图_右自动.png
15 (5).tif,15,4,0,0.217391,green_bar,ok,,15_(05)_左原图_右自动.png
15 (6).tif,15,3,0,0.217391,green_bar,ok,,15_(06)_左原图_右自动.png
15 (7).tif,15,6,0,0.217391,green_bar,ok,,15_(07)_左原图_右自动.png
15 (8).tif,15,6,1,0.217391,green_bar,ok,,15_(08)_左原图_右自动.png
16 (1).tif,16,5,0,0.217391,green_bar,ok,,16_(01)_左原图_右自动.png
16 (2).tif,16,6,0,0.217391,green_bar,ok,,16_(02)_左原图_右自动.png
16 (3).tif,16,8,1,0.217391,green_bar,ok,,16_(03)_左原图_右自动.png
16 (4).tif,16,6,1,0.217391,green_bar,ok,,16_(04)_左原图_右自动.png
16 (5).tif,16,7,1,0.217391,green_bar,ok,,16_(05)_左原图_右自动.png
16 (6).tif,16,5,1,0.217391,green_bar,ok,,16_(06)_左原图_右自动.png
17 (1).tif,17,3,0,0.217391,green_bar,ok,,17_(01)_左原图_右自动.png
17 (2).tif,17,6,1,0.217391,green_bar,ok,,17_(02)_左原图_右自动.png
17 (3).tif,17,6,0,0.217391,green_bar,ok,,17_(03)_左原图_右自动.png
17 (4).tif,17,5,0,0.217391,green_bar,ok,,17_(04)_左原图_右自动.png
17 (5).tif,17,6,1,0.217391,green_bar,ok,,17_(05)_左原图_右自动.png
17 (6).tif,17,4,0,0.217391,green_bar,ok,,17_(06)_左原图_右自动.png
17 (7).tif,17,7,1,0.217391,green_bar,ok,,17_(07)_左原图_右自动.png
18 (1).tif,18,5,0,0.217391,green_bar,ok,,18_(01)_左原图_右自动.png
18 (2).tif,18,5,0,0.217391,green_bar,ok,,18_(02)_左原图_右自动.png
18 (3).tif,18,8,1,0.217391,green_bar,ok,,18_(03)_左原图_右自动.png
18 (4).tif,18,3,0,0.217391,green_bar,ok,,18_(04)_左原图_右自动.png
18 (5).tif,18,5,1,0.217391,green_bar,ok,,18_(05)_左原图_右自动.png
18 (6).tif,18,3,1,0.217391,green_bar,ok,,18_(06)_左原图_右自动.png
18 (7).tif,18,4,1,0.217391,green_bar,ok,,18_(07)_左原图_右自动.png
18 (8).tif,18,5,0,0.217391,green_bar,ok,,18_(08)_左原图_右自动.png
18 (9).tif,18,6,2,0.217391,green_bar,ok,,18_(09)_左原图_右自动.png
18 (10).tif,18,2,1,0.217391,green_bar,ok,,18_(10)_左原图_右自动.png
19 (1).tif,19,6,0,0.217391,green_bar,ok,,19_(01)_左原图_右自动.png
19 (2).tif,19,5,0,0.217391,green_bar,ok,,19_(02)_左原图_右自动.png
19 (3).tif,19,7,1,0.217391,green_bar,ok,,19_(03)_左原图_右自动.png
19 (4).tif,19,5,2,0.217391,green_bar,ok,,19_(04)_左原图_右自动.png
19 (5).tif,19,8,1,0.217391,green_bar,ok,,19_(05)_左原图_右自动.png
19 (6).tif,19,8,1,0.217391,green_bar,ok,,19_(06)_左原图_右自动.png
19 (7).tif,19,8,1,0.217391,green_bar,ok,,19_(07)_左原图_右自动.png
19 (8).tif,19,4,0,0.217391,green_bar,ok,,19_(08)_左原图_右自动.png
19 (9).tif,19,3,1,0.217391,green_bar,ok,,19_(09)_左原图_右自动.png
19 (10).tif,19,6,0,0.217391,green_bar,ok,,19_(10)_左原图_右自动.png
19 (11).tif,19,5,1,0.217391,green_bar,ok,,19_(11)_左原图_右自动.png
19 (12).tif,19,6,0,0.217391,green_bar,ok,,19_(12)_左原图_右自动.png
19 (13).tif,19,4,0,0.217391,green_bar,ok,,19_(13)_左原图_右自动.png
19 (14).tif,19,8,1,0.217391,green_bar,ok,,19_(14)_左原图_右自动.png
19 (15).tif,19,1,0,0.217391,green_bar,ok,,19_(15)_左原图_右自动.png
19 (16).tif,19,3,1,0.217391,green_bar,ok,,19_(16)_左原图_右自动.png
19 (17).tif,19,8,1,0.217391,green_bar,ok,,19_(17)_左原图_右自动.png
20 (1).tif,20,5,0,0.217391,green_bar,ok,,20_(01)_左原图_右自动.png
20 (2).tif,20,3,0,0.217391,green_bar,ok,,20_(02)_左原图_右自动.png
20 (3).tif,20,3,0,0.217391,green_bar,ok,,20_(03)_左原图_右自动.png
20 (4).tif,20,3,1,0.217391,green_bar,ok,,20_(04)_左原图_右自动.png
20 (5).tif,20,6,0,0.217391,green_bar,ok,,20_(05)_左原图_右自动.png
20 (6).tif,20,5,0,0.217391,green_bar,ok,,20_(06)_左原图_右自动.png
20 (7).tif,20,7,1,0.217391,green_bar,ok,,20_(07)_左原图_右自动.png
20 (8).tif,20,6,0,0.217391,green_bar,ok,,20_(08)_左原图_右自动.png
21 (1).tif,21,4,1,0.217391,green_bar,ok,,21_(01)_左原图_右自动.png
