epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,221.359,0.19498,7.25641,0.09716,0.20231,1.00862,0.9284,0.96061,0.97943,0.8622,0.72407,0.77778,0.64757,0.41783,0.60527,8.12181,0.04657,0.7685,1.23573,0.001571,0.001571,0.001571
28,229.11,0.17569,6.78118,0.08105,0.17246,0.98978,0.9995,0.88889,0.97196,0.86512,0.86947,0.74074,0.78366,0.43943,0.50453,7.55892,0.05666,0.54843,1.10557,0.0015545,0.0015545,0.0015545
29,236.703,0.19117,6.53406,0.0802,0.17122,0.9861,0.91173,0.76551,0.90628,0.73863,0.85638,0.66271,0.71412,0.34491,0.67538,7.94722,0.07153,0.84317,1.3654,0.001538,0.001538,0.001538
30,244.644,0.17174,6.50277,0.09547,0.16352,0.98301,0.9578,0.96296,0.99031,0.94019,0.8422,0.85185,0.87784,0.42548,0.40044,7.11765,0.06157,0.50503,1.00692,0.0015215,0.0015215,0.0015215
31,252.461,0.14802,5.99115,0.07049,0.15228,0.95792,0.98935,1,0.995,0.91046,0.88343,0.88889,0.83127,0.47531,0.43156,6.38993,0.04833,0.41549,1.0037,0.001505,0.001505,0.001505
32,260.195,0.14892,5.7544,0.08811,0.15927,0.95911,0.95228,0.96296,0.98904,0.92288,0.87877,0.88889,0.8854,0.51479,0.38872,6.19272,0.04613,0.3908,0.96081,0.0014885,0.0014885,0.0014885
33,267.8,0.15543,5.73418,0.08483,0.1496,0.95818,0.9392,0.96296,0.97923,0.89302,0.75918,0.85185,0.69251,0.40169,0.36695,8.4909,0.03651,0.50761,0.93404,0.001472,0.001472,0.001472
34,275.548,0.15147,5.83212,0.07729,0.16103,0.95424,0.8779,0.96296,0.91883,0.85494,0.58997,0.7037,0.55724,0.19074,0.39149,13.3951,0.05471,0.58868,0.97259,0.0014555,0.0014555,0.0014555
35,283.796,0.13179,5.72848,0.07542,0.15194,0.94367,0.88982,0.96296,0.95623,0.8987,0.43765,0.44444,0.33535,0.13282,0.41915,15.2127,0.06087,0.53485,1.00712,0.001439,0.001439,0.001439
36,291.841,0.13319,5.348,0.06035,0.14534,0.94783,0.96147,0.92416,0.9789,0.90466,0.92298,0.88777,0.92139,0.47272,0.38803,6.85643,0.05446,0.42581,0.99302,0.0014225,0.0014225,0.0014225
37,299.835,0.11592,5.16305,0.06492,0.13287,0.93005,0.92262,0.92593,0.97463,0.9085,0.8464,0.85185,0.84199,0.46475,0.41148,6.1128,0.07257,0.52265,0.9786,0.001406,0.001406,0.001406
38,307.532,0.12843,4.66754,0.079,0.1481,0.9369,0.85089,0.96296,0.96738,0.91834,0.78463,0.88889,0.79562,0.35334,0.39615,7.85516,0.09085,0.50596,0.99805,0.0013895,0.0013895,0.0013895
39,315.218,0.13792,4.69395,0.06333,0.1435,0.95318,0.91152,0.92593,0.9541,0.91359,0.87506,0.88889,0.90308,0.49083,0.40826,6.05952,0.04878,0.51839,0.97853,0.001373,0.001373,0.001373
40,322.906,0.15209,4.95712,0.0553,0.15601,0.94572,0.85526,0.87572,0.9013,0.82004,0.81915,0.83911,0.80905,0.4298,0.46933,6.41984,0.04251,0.73226,1.0289,0.0013565,0.0013565,0.0013565
41,330.528,0.14128,4.23671,0.06148,0.1472,0.94425,0.66837,0.92593,0.85602,0.72661,0.61393,0.96296,0.75137,0.38738,0.50432,5.99617,0.0453,1.20501,1.06288,0.00134,0.00134,0.00134
42,338.347,0.14177,3.9289,0.05554,0.14241,0.94143,0.74113,0.95451,0.86573,0.76087,0.7134,0.92201,0.78443,0.42301,0.49408,6.07488,0.04339,0.97524,1.05084,0.0013235,0.0013235,0.0013235
43,345.896,0.13043,3.85078,0.05151,0.13936,0.9331,0.77355,0.81481,0.86348,0.72351,0.7203,0.76335,0.7447,0.4252,0.56077,6.86654,0.05284,1.16604,1.14872,0.001307,0.001307,0.001307
44,353.49,0.14215,3.8045,0.04993,0.13807,0.93911,0.86174,0.81481,0.88554,0.75846,0.70029,0.66667,0.64049,0.31877,0.58756,8.37499,0.07392,0.9337,1.18813,0.0012905,0.0012905,0.0012905
45,360.971,0.12153,3.45099,0.04683,0.12633,0.92532,0.96446,0.77778,0.91616,0.79796,0.73656,0.59259,0.63201,0.22808,0.50517,10.2212,0.07273,0.75767,1.08849,0.001274,0.001274,0.001274
46,368.574,0.12217,3.11115,0.04104,0.12763,0.93478,0.96142,0.92304,0.98545,0.91655,0.86926,0.98533,0.98285,0.64455,0.4092,4.55455,0.04064,0.48556,0.9764,0.0012575,0.0012575,0.0012575
47,376.202,0.10819,2.83709,0.04443,0.1174,0.91759,0.89929,0.9924,0.98385,0.90728,0.86605,0.958,0.90768,0.55408,0.38704,5.54037,0.03164,0.7655,0.94446,0.001241,0.001241,0.001241
