filename,sample_id,view_id,magnification,radius_um,xylem_um,phloem_um,bark_um,backend,similar_ref,sim_vs_manual
1-1 2X.jpg,1,1,2,2054.669703872437,1222.8877048925315,241.10660056563225,212.543279963248,yolo,,0.8456
1-2 4X.jpg,1,2,4,1937.80193236715,1253.4473810552686,278.2555174954565,80.61594202898532,yolo,,0.8621
1-3 4X.jpg,1,3,4,2183.5748792270538,1413.1463071580056,276.8899247260522,88.94927536231907,yolo,,0.7639
2-1 2X.jpg,2,1,2,1833.7129840546697,1147.2506240818145,235.55119824164785,72.7790432801821,yolo,,0.9358
2-2  4X.jpg,2,2,4,1765.096618357488,1005.127600107027,208.85171064258384,90.36851533734583,yolo,,0.8423
2-3 4X.jpg,2,3,4,2008.454106280193,1204.4318556063306,224.583844876761,75.2113526570051,yolo,,0.7201
3-1 2X.jpg,3,1,2,1436.2186788154893,801.3461082143288,187.66770346375023,119.1866439027862,yolo,,0.9446
3-2 4X.jpg,3,2,4,1496.3768115942034,783.2815960508028,208.48764579173329,193.6172315874159,yolo,,0.9305
3-3  4X.jpg,3,3,4,1531.4009661835748,882.5242081592585,235.56154063301233,58.84661835748788,yolo,,0.6055
4-1 2X.jpg,4,1,2,2328.0182232346237,1474.2013725839943,298.1220898305845,93.28018223234628,yolo,,0.6160
4-2 4X.jpg,4,2,4,2180.5555555555557,1413.9001826110555,308.8353246353211,90.67028985507272,yolo,,0.7912
4-3 4X.jpg,4,3,4,2352.053140096619,1439.028274890608,316.7134038300418,106.57716185906048,yolo,,0.9320
5-1 2X.jpg,5,1,2,1843.9635535307518,1163.60745278397,276.5406109973515,75.79726651480597,yolo,,0.7980
5-2 4X.jpg,5,2,4,2001.2077294685992,1263.0519904103226,317.4129854350877,83.18236714975848,yolo,,0.9123
5-3 4X.jpg,5,3,4,1960.7487922705309,1068.771626723834,300.5822380104655,72.07125603864718,yolo,,0.8423
6-1 2X.jpg,6,1,2,1297.2665148063775,726.774351657483,231.88168478898652,50.45558086560332,yolo,,0.8606
6-2  4X.jpg,6,2,4,1496.9806763285026,789.7061179695544,278.47021053286113,56.21980676328497,yolo,,0.5572
6-3 4X.jpg,6,3,4,1379.8309178743962,797.7157035504514,260.7082094930269,55.70652173913047,yolo,,0.6707
7-1 2X.jpg,7,1,2,2734.6241457858773,1777.2821994726546,288.6224809032684,164.16365675391685,yolo,,0.7381
7-2  4X.jpg,7,2,4,2872.807979109259,1952.001870166636,270.396096279801,75.9112122975243,yolo,,0.9949
7-3  4X.jpg,7,3,4,2921.486040677638,1850.605804091593,316.15144228521876,114.03985507246377,yolo,,0.7243
8-1 2X.jpg,8,1,2,2252.847380410023,1239.5983264127442,224.42606746353064,173.78881796882806,yolo,,0.9435
8-2  4X.jpg,8,2,4,2437.801932367149,1369.9852321133983,282.7623524276648,86.98671497584526,yolo,,0.7917
8-3  4X.jpg,8,3,4,2507.2463768115945,1608.1767284101027,245.35588028554926,97.55434782608714,yolo,,0.7193
9-1 2X.jpg,9,1,2,2247.1526195899764,1149.0009242400447,277.5517117180876,108.75488112615007,yolo,,0.9213
9-2 4X.jpg,9,2,4,2188.4057971014495,1239.5731747545997,287.5403518154489,80.37439613526571,yolo,,0.9187
9-3 4X.jpg,9,3,4,2200.48309178744,1143.546550564629,295.79523687498494,75.75483091787396,yolo,,0.8779
10-1 2X.jpg,10,1,2,2193.621867881549,1517.4935709025117,282.57429151160267,160.0688118455667,yolo,,0.7413
10-2  4X.jpg,10,2,4,2251.811594202899,1033.9774255782388,315.29793674060215,71.01449275362305,yolo,,0.4113
10-3 4X.jpg,10,3,4,2480.072463768116,1769.5006082185596,300.87982656404847,108.96739130434774,yolo,,0.6442
11-1 2X.jpg,11,1,2,1902.0501138952159,1219.337866366288,235.95826119635424,76.59453302961272,yolo,,0.8577
11-2  4X.jpg,11,2,4,2100.8454106280196,1361.178873173619,272.73019350856345,88.3131555400398,yolo,,0.9485
11-3   4X.jpg,11,3,4,2013.8888888888887,1328.6000099710818,250.14395138157556,83.0917874396136,yolo,,0.7432
12-1 2X.jpg,12,1,2,1584.282460136674,986.024463567859,225.10101822634866,82.724176520143,yolo,,0.9513
12-2  4X.jpg,12,2,4,1657.0048309178744,778.6481905157654,220.6875582765053,52.596618357488,yolo,,0.4819
12-3  4X.jpg,12,3,4,1694.4444444444446,1011.9817210265059,218.33126397950954,91.54691837562727,yolo,,0.8386
13-1 2X.jpg,13,1,2,3181.0933940774494,2042.4587277983512,398.4677476397188,330.1441395960982,yolo,,0.5912
13-2  4X.jpg,13,2,4,3287.4396135265692,1406.7245462941573,431.89260346429666,96.76932367149759,yolo,,0.5564
13-3   4X.jpg,13,3,4,3030.3860283715735,1804.4896784032344,566.533048869493,124.7906698564591,yolo,,0.6735
14-1 2X.jpg,14,1,2,2348.519362186789,1597.06116939633,350.5470310592512,102.50569476081971,yolo,,0.8412
14-2  4X.jpg,14,2,4,2574.8792270531408,1912.9444447349115,374.85748763223836,120.41062801932377,yolo,,0.8098
14-3 4X.jpg,14,3,4,2591.1835748792273,1047.1996580464138,364.60589750914187,74.30555555555557,yolo,,0.6057
15-1 2X.jpg,15,1,2,1330.2961275626421,770.1163546499673,204.20854063821002,82.62271291227809,yolo,,0.9212
15-2  4X.jpg,15,2,4,1451.0869565217386,843.1149884369265,228.50336905099633,56.4009661835749,yolo,,0.8166
15-3 4X.jpg,15,3,4,1393.1159420289853,778.683184283918,199.50752952130495,68.91073547013946,yolo,,0.9041
16-1 2X.jpg,16,1,2,2351.9362186788153,1644.4739571717794,285.7276836707044,188.24938421446404,yolo,,0.8590
16-2  4X.jpg,16,2,4,2343.5990338164247,1700.2008649812735,284.12884516365415,104.43840579710134,yolo,,0.5418
16-3 4X.jpg,16,3,4,2528.9855072463774,1865.8157990233321,333.64072271579914,115.76086956521715,yolo,,0.6052
17-1 2X.jpg,17,1,2,1972.6651480637818,1307.0625582994721,260.7620430672709,82.51708428246027,yolo,,0.8864
17-2 4X.jpg,17,2,4,2054.3478260869565,1304.480281454673,248.20956528569255,132.09276195528685,yolo,,0.8463
17-3 4X.jpg,17,3,4,2138.888888888889,1335.1281980523695,261.13156603256124,124.7547286686925,yolo,,0.8363
18-1 2X.jpg,18,1,2,1323.4624145785876,728.20136819494,175.72909067537907,55.067263225353045,yolo,,0.9392
18-2 4X.jpg,18,2,4,1371.376811594202,794.9425505871069,199.3198036329159,82.42846703601563,yolo,,0.8469
18-3 4X.jpg,18,3,4,1398.5507246376817,784.2999274420803,201.84137690574565,51.90217391304355,yolo,,0.9265
19-1 2X.jpg,19,1,2,2357.630979498861,1632.1537320115365,325.47483066748066,135.76551476973052,yolo,,0.9153
19-2  4X.jpg,19,2,4,2787.43961352657,2019.5590559904053,389.2875623670828,126.7814009661834,yolo,,0.6960
19-3 4X.jpg,19,3,4,2669.9029126213595,1885.7756015812638,392.3797382245608,119.90291262135949,yolo,,0.6150
20-1 2X.jpg,20,1,2,2184.510250569476,1409.2834238813748,307.9946215524326,147.18664704910867,yolo,,0.8668
20-2  4X.jpg,20,2,4,2366.545893719807,1506.0445073455608,302.16805304091275,95.16908212560388,yolo,,0.9285
20-3 4X.jpg,20,3,4,2350.24154589372,1497.9042811039112,319.432334825591,178.43633093040154,yolo,,0.8710
21-1 2X.jpg,21,1,2,1875.8542141230068,972.5879329488355,233.18456501407573,232.72408518059632,yolo,,0.9264
21-2 4X.jpg,21,2,4,1809.1787439613527,1168.9685799607207,227.93692923093107,108.52927341704378,yolo,,0.8441
21-3 4X.jpg,21,3,4,1882.2815533980574,1197.1766716936324,256.06968752966935,76.48665048543673,yolo,,0.6524
22-1 2X.jpg,22,1,2,2356.4920273348525,1378.5364874559584,255.6371751553004,147.14752189899167,yolo,,0.8482
22-2 4X.jpg,22,2,4,2300.12077294686,1459.5861452882407,259.7073329726294,90.4891304347824,yolo,,0.7130
22-3  4X.jpg,22,3,4,2443.2367149758456,1541.7442514801369,298.0202412734863,96.82971014492752,yolo,,0.7213
23-1 2X.jpg,23,1,2,1851.9362186788157,1175.6998923536974,221.16798919527824,73.51936218678789,yolo,,0.8603
23-2 4X.jpg,23,2,4,2304.3478260869565,1481.6676300181755,277.20918157602745,92.57246376811607,yolo,,0.6538
23-3  4X.jpg,23,3,4,2107.4879227053148,1302.234718041211,259.8727698814947,82.21618357487941,yolo,,0.8478
24-1 2X.jpg,24,1,2,1746.0136674259682,1077.8395182360969,221.22170754466174,203.21667854725965,yolo,,0.4621
24-2  4X.jpg,24,2,4,1988.5265700483096,790.5619552797926,239.17838288445859,54.196859903381686,yolo,,0.7143
24-3 4X.jpg,24,3,4,1565.940366972477,742.0334451984484,194.34843553549655,49.28325688073399,yolo,,0.8631
25-1 2X.jpg,25,1,2,2671.9817767653753,1787.2876341268643,381.90430683007116,149.71466496561627,yolo,,0.7851
25-2 4X.jpg,25,2,4,3234.903381642512,1823.2540378535675,424.39088968266446,118.29710144927533,yolo,,0.6379
25-3 4X.jpg,25,3,4,2742.149758454106,1895.3249785790608,433.2076301165906,122.55434782608727,yolo,,0.4980
