                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.1298,                 1.6523,                 1.7469,                 1.4815,                0.56759,                0.79372,                0.62606,                0.43228,                0.56759,                0.79372,                0.62822,                0.35128,                 1.0778,                 1.3926,                 1.3069,                 1.4267,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.1549,                 1.6458,                 1.7408,                 1.4606,                0.60152,                0.80785,                0.63948,                0.43749,                0.60152,                0.80785,                0.64033,                0.35803,                 1.0843,                 1.4063,                 1.2689,                 1.4229,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.1139,                 1.6215,                 1.8322,                 1.4311,                 0.5999,                0.80599,                0.64753,                0.43696,                0.60157,                0.80763,                0.64992,                0.36025,                 1.1572,                 1.4565,                   1.34,                 1.4486,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.1018,                 1.5832,                 1.5971,                 1.4248,                0.60541,                0.81136,                0.63482,                0.43855,                0.60541,                0.81136,                0.63627,                0.36953,                 1.0453,                 1.3926,                 1.2653,                  1.395,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.0857,                 1.5955,                 1.5653,                 1.4156,                0.60929,                0.81018,                0.65008,                0.45177,                0.61116,                0.81398,                0.65219,                0.37104,                 1.1187,                 1.4233,                 1.2575,                 1.4377,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.0846,                 1.6003,                 1.5978,                 1.3966,                0.60122,                0.81269,                0.66074,                0.44976,                0.59049,                0.80067,                0.64206,                0.37345,                 1.0543,                 1.3824,                  1.198,                 1.3953,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.0575,                 1.5757,                 1.4834,                 1.4086,                0.61337,                0.82984,                0.66507,                0.46542,                0.61508,                0.83148,                0.66765,                0.37698,                 1.0675,                 1.3984,                 1.1692,                 1.4037,             9.9187e-05,             9.9187e-05,             9.9187e-05
                      1,                 1.4005,                 2.5076,                 1.3481,                 1.6836,                0.70437,                0.78547,                0.75898,                0.48867,                0.68684,                 0.7602,                0.73402,                0.36265,                 1.1407,                 1.9413,                 1.1706,                 1.5581,             0.00055167,             0.00055167,             0.00055167
                      2,                 1.4852,                 2.3347,                 1.3507,                 1.6925,                 0.7687,                0.73599,                0.75897,                0.49799,                 0.7621,                0.72609,                0.74003,                0.36163,                 1.3194,                 1.7848,                 1.2048,                 1.6277,              0.0010525,              0.0010525,              0.0010525
                      3,                 1.5182,                 2.3082,                 1.4856,                 1.7483,                0.75646,                0.71879,                 0.7583,                 0.4855,                 0.7463,                 0.7055,                0.74268,                0.35247,                 1.2712,                 1.7465,                 1.1868,                 1.6131,              0.0014984,              0.0014984,              0.0014984
                      4,                 1.4295,                 2.2119,                 1.3129,                 1.6464,                0.79041,                0.66932,                 0.7817,                0.49416,                0.79041,                0.66932,                0.77658,                0.37051,                 1.2395,                 1.7981,                 1.1251,                  1.567,              0.0014195,              0.0014195,              0.0014195
                      5,                  1.431,                 2.1911,                 1.3116,                 1.6363,                0.67139,                0.80121,                0.77735,                0.50651,                0.65411,                  0.783,                0.76316,                0.35377,                 1.3892,                 1.8302,                 1.1559,                 1.5955,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.4575,                 2.1646,                 1.2786,                 1.6612,                0.81261,                0.76699,                0.81206,                0.48845,                0.78915,                0.74408,                0.76885,                0.36514,                 1.3302,                  1.747,                  1.105,                 1.6079,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.4294,                 2.1235,                 1.2263,                 1.6476,                0.78793,                   0.81,                0.82694,                0.54716,                0.78793,                   0.81,                0.82685,                0.37769,                 1.2982,                 1.6579,                 1.1021,                 1.6099,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.4138,                 2.1823,                 1.2228,                 1.6042,                0.84322,                0.76416,                0.80567,                0.52702,                0.83908,                 0.7582,                0.80277,                0.35457,                 1.3088,                 1.6194,                 1.1733,                  1.612,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.3588,                  2.064,                  1.219,                 1.5988,                0.78973,                0.79337,                0.80691,                0.55308,                0.78363,                0.78654,                0.80033,                0.39892,                 1.1599,                 1.7646,                 1.0168,                 1.4935,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.3064,                 1.9821,                 1.1502,                 1.5346,                0.77369,                0.78669,                0.81503,                0.54562,                0.76658,                0.77916,                0.79674,                0.40935,                 1.1627,                 1.5884,                 1.0124,                 1.4924,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.1426,                 1.8519,                 1.1062,                 1.4366,                0.71464,                 0.7672,                0.78618,                0.53985,                0.70755,                0.75998,                0.77581,                0.39587,                 1.0357,                 1.5193,                 1.0826,                 1.4205,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.1447,                  1.807,                 1.0654,                 1.4253,                0.82336,                0.77966,                0.83295,                0.56739,                0.81572,                0.77119,                0.82471,                  0.448,                 1.0933,                 1.4775,                0.94785,                 1.4178,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.1144,                 1.7264,                 1.0257,                 1.4155,                0.80811,                0.81441,                0.86054,                0.59904,                0.80811,                0.81441,                0.86003,                0.46707,                 1.0329,                  1.431,                0.92143,                 1.3873,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.0805,                 1.7564,                  1.049,                 1.4011,                 0.7962,                0.80031,                0.83949,                0.56095,                 0.7947,                0.79905,                0.83859,                0.45412,                 1.0065,                 1.4397,                0.95672,                 1.3666,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.0946,                  1.752,                 1.0357,                 1.4089,                0.74901,                0.85996,                0.84791,                0.58974,                 0.7606,                0.82514,                0.83478,                0.46199,                0.97367,                  1.469,                0.90891,                 1.3464,             0.00051177,             0.00051177,             0.00051177
