filename,sample_id,view_id,magnification,radius_um,xylem_um,phloem_um,bark_um,backend,similar_ref,sim_vs_manual
1-1 2X.jpg,1,1,2,2054.6697038724374,1222.80518991573,340.2992966292616,113.43309887642063,yolo,,0.8459
1-2 4X.jpg,1,2,4,1935.9903381642512,1253.4473810552686,278.2555174954562,80.61594202898566,yolo,,0.8618
1-3 4X.jpg,1,3,4,2183.5748792270533,1413.146307158006,276.8899247260522,88.94927536231887,yolo,,0.7639
2-1 2X.jpg,2,1,2,1833.7129840546697,1147.2506240818136,235.55119824164822,72.77904328018221,yolo,,0.9358
2-2  4X.jpg,2,2,4,1765.096618357488,1087.6726763145414,213.68389856119546,71.22796618706515,yolo,,0.9399
2-3 4X.jpg,2,3,4,2008.4541062801936,1203.2845126111613,224.80110829525188,74.93370276508396,yolo,,0.7198
3-1 2X.jpg,3,1,2,1436.2186788154895,801.3070321915651,230.17006754197524,76.72335584732501,yolo,,0.9465
3-2 4X.jpg,3,2,4,1496.376811594203,783.2743199413802,301.58411511642845,100.52803837214282,yolo,,0.9427
3-3  4X.jpg,3,3,4,1531.4009661835748,882.5242081592583,235.5615406330123,58.84661835748789,yolo,,0.6055
4-1 2X.jpg,4,1,2,2328.018223234623,1474.2013725839938,298.1220898305846,93.2801822323464,yolo,,0.6160
4-2 4X.jpg,4,2,4,2181.1594202898555,1413.9001826110557,308.83532463532134,90.67028985507255,yolo,,0.7912
4-3 4X.jpg,4,3,4,2352.0531400966183,1438.0349507288036,317.7600188374558,105.92000627915186,yolo,,0.9314
5-1 2X.jpg,5,1,2,1843.9635535307516,1164.689457339779,276.5406109973509,75.854214123007,yolo,,0.7978
5-2 4X.jpg,5,2,4,2001.2077294685992,1263.0519904103228,317.41298543508765,83.18236714975849,yolo,,0.9123
5-3 4X.jpg,5,3,4,1960.7487922705316,1271.263880071905,301.59552382230885,63.61402605747759,yolo,,0.9856
6-1 2X.jpg,6,1,2,1297.2665148063782,726.774351657483,231.88168478898652,50.45558086560342,yolo,,0.8606
6-2  4X.jpg,6,2,4,1496.9806763285026,857.1948329558011,277.91810327756514,55.10445507098158,yolo,,0.7072
6-3 4X.jpg,6,3,4,1379.2270531400966,795.4210175601131,260.7082094930269,55.58574879227056,yolo,,0.6708
7-1 2X.jpg,7,1,2,2734.624145785877,1777.2147421936993,339.6401962021061,113.21339873403505,yolo,,0.7376
7-2  4X.jpg,7,2,4,2872.807979109259,1952.001870166636,270.396096279801,75.9112122975243,yolo,,0.9885
